date,close
2015-01-01,203.6
2015-02-01,203.34
2015-03-01,188.77
2015-04-01,226.05
2015-05-01,250.8
2015-06-01,268.26
2015-07-01,266.15
2015-08-01,249.06
2015-09-01,248.4
2015-10-01,206.93
2015-11-01,230.26
2015-12-01,240.01
2016-01-01,191.2
2016-02-01,191.93
2016-03-01,229.77
2016-04-01,240.76
2016-05-01,223.23
2016-06-01,212.28
2016-07-01,234.79
2016-08-01,212.01
2016-09-01,204.03
2016-10-01,197.73
2016-11-01,189.4
2016-12-01,213.69
2017-01-01,251.93
2017-02-01,249.99
2017-03-01,278.3
2017-04-01,314.07
2017-05-01,341.01
2017-06-01,361.61
2017-07-01,323.47
2017-08-01,355.9
2017-09-01,341.1
2017-10-01,331.53
2017-11-01,308.85
2017-12-01,311.35
2018-01-01,354.31
2018-02-01,343.06
2018-03-01,266.13
2018-04-01,293.9
2018-05-01,284.73
2018-06-01,342.95
2018-07-01,298.14
2018-08-01,301.66
2018-09-01,264.77
2018-10-01,337.32
2018-11-01,350.48
2018-12-01,332.8
2019-01-01,307.02
2019-02-01,319.88
2019-03-01,279.86
2019-04-01,238.69
2019-05-01,185.16
2019-06-01,223.46
2019-07-01,241.61
2019-08-01,225.61
2019-09-01,240.87
2019-10-01,314.92
2019-11-01,329.94
2019-12-01,418.33
2020-01-01,650.57
2020-02-01,667.99
